Scientific Name,Matched Scientific Name,Revised.CTDB.name,Latitude - original,Longitude - original,Year - parsed,turbidity,highSST,lowSST,meanSST,waveenergy
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.68,146.59,1983,0.06353092,28.609999,22.31,25.689999,0.044006
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-10.728,143.986,1983,0.09077215,27.859999,24.85,26.5,0.013147
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-13.169,143.942,1983,0.08185032,28.01,24.42,26.359999,0.082431
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-13.167,143.946,1983,0.08185032,28.01,24.42,26.359999,0.082431
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-13.166,143.95,1983,0.08185032,28.01,24.439999,26.38,0.082431
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-23.886,152.424,1983,0.069237836,26.99,21.51,24.15,0.75285
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-11.914,143.473,1983,0.12490065,28.96,24.32,26.65,0.134963
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.814,146.432,1983,0.16435862,28.91,21.59,25.72,0.198713
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.199,146.809,1983,0.068078116,28.349998,23.279999,25.9,0.044387
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora (Acropora) acuminata,Acropora acuminata,-11.914,143.473,1983,0.12490065,28.96,24.32,26.65,0.134963
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora (Acropora) acuminata,Acropora acuminata,-19.883,158.316,1983,0.055503912,27.41,23.289999,25.279999,
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora (Acropora) acuminata,Acropora acuminata,-18.232,146.638,1983,0.05736161,28.48,23.24,25.88,0.0263
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora (Acropora) acuminata,Acropora acuminata,-19.607,158.545,1983,0.035156228,27.5,23.199999,25.32,
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora (Acropora) acuminata,Acropora acuminata,-23.619,152.168,1983,0.05991871,26.88,21.56,24.13,0.017618
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora (Acropora) acuminata,Acropora acuminata,-11.739,144.101,1983,0.07918236,28.119999,24.529999,26.43,
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora (Acropora) acuminata,Acropora acuminata,-16.6,150.283,1983,0.030781476,28.46,24.4,26.43,0.001776
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora (Acropora) acuminata,Acropora acuminata,-13.043,143.626,1983,0.07797267,28.46,23.99,26.46,0.955337
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora (Acropora) acuminata,Acropora acuminata,-9.775,143.86,1983,0.11162425,28.599998,25.119999,26.98,0.061519
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-11.694,144.028,1983,0.062372394,28,24.6,26.449999,0.158486
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-29.933,159.066,1983,0.04077379,24.49,19.17,21.74,
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,-9.918,144,1983,0.09150131,27.939999,24.9,26.64,0.419661
