Name,Scientific.Name,locality,Latitude - processed,Longitude - processed,Coordinate Uncertainty in Metres - parsed,IMCRA Region - parsed,State - parsed,Year - parsed,coordinate Uncertainty In Meters,Data Resource ID
"Echinophyllia aspera (Ellis & Solander, 1786)",Echinophyllia.aspera,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Echinopora lamellosa (Esper, 1795)",Echinopora.lamellosa,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Euphyllia (Euphyllia) cristata Chevalier, 1971",Euphyllia.cristata,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Euphyllia (Euphyllia) glabrescens (Chamisso & Eysenhardt, 1821)",Euphyllia.glabrescens,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1979,2500,dr684
"Euphyllia (Euphyllia) glabrescens (Chamisso & Eysenhardt, 1821)",Euphyllia.glabrescens,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1979,5000,dr684
Euphyllia (Fimbriaphyllia) ancora,Euphyllia.ancora,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Favia rotumana (Gardiner, 1899)",Favia.rotumana,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Favites abdita (Ellis & Solander, 1786)",Favites.abdita,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Favites halicora (Ehrenberg, 1834)",Favites.halicora,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Favites russelli (Wells, 1954)",Favites.russelli,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Fungia (Fungia) Fungites (Linnaeus, 1758)",Fungia.fungites,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1979,2500,dr684
"Galaxea fascicularis (Linnaeus, 1767)",Galaxea.fascicularis,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1979,2500,dr684
"Goniastrea australensis (Edwards & Haime, 1857)",Goniastrea.australensis,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Goniastrea palauensis (Yabe, Sugiyama & Eguchi, 1936)",Goniastrea.palauensis,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Goniastrea pectinata (Ehrenberg, 1834)",Goniastrea.pectinata,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Hydnophora exesa (Pallas, 1766)",Hydnophora.exesa,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
