Scientific Name,Matched Scientific Name,Revised CTDB name,,Species - matched,locality,Latitude - original,Longitude - original,Year - parsed,el 954 chl,el 2097 salinity max,el 2096 salinity min,el 955 temp,el 947 turb
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Between Orpheus and Pelorus Islands,-18.56,146.49,1983,0.76855814,,,26.082157,0.09267254
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Elk Cliff, Great Palm Island",-18.68,146.59,1983,0.41033953,35.57,34.48,25.965076,0.06353092
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Triangle Reef, N side",-10.728,143.986,1983,0.84278554,35.309998,34.559998,26.663015,0.09077215
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Britomart Reef, NW side",-18.199,146.809,1983,0.47063765,35.54,34.55,26.26456,0.068078116
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Tijou Reef,-13.169,143.942,1983,0.6841327,35.42,34.79,26.593689,0.08185032
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Tijou Reef,-13.167,143.946,1983,0.6841327,35.42,34.79,26.593689,0.08185032
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Houghton Island, W corner",-14.524,144.964,1983,1.4286817,35.44,34.719997,26.132479,0.11641185
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Martha Ridgeway Reef, W side of reef channel",-12.132,143.808,1983,0.8344023,35.44,34.7,26.645206,0.09033148
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Magdelaine Cay,-16.6,150.283,1983,0.10375753,35.329998,34.92,26.654171,0.030781476
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Between Orpheus and Fantome Islands (Palm Islands),-18.657,146.503,1983,0.95908695,35.57,34.469997,25.8367,0.10684275
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Arden Island, NW corner",-9.867,143.167,1983,0.63110375,35.399998,34,27.619263,0.08475775
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"near Triangle Reef, S side of a channel",-10.766,143.983,1983,0.84278554,35.32,34.57,26.733238,0.09077215
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Orpheus Island (Palm Islands), NW point",-18.567,146.48,1983,0.76855814,35.559998,34.48,26.037094,0.09267254
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Falcon Island (Palm Islands), SW end",-18.772,146.532,1983,1.0441041,35.57,34.46,25.787212,0.11222704
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Fitzroy Reef, SE side",-23.627,152.181,1983,0.3999051,35.68,35.12,24.40502,0.05991871
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"South Islet, Willis Islands",-16.28,149.96,1983,0.10403768,35.329998,34.899998,26.665705,0.027516393
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Lizard Island lagoon, SW entrance near Bird Islet",-14.688,145.468,1983,0.3675777,35.469997,34.739998,26.44021,0.05905779
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Cat Reef,-12.992,143.858,1983,0.5077575,35.45,34.77,26.675268,0.072858445
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora acuminata,Acropora acuminata,,Acropora (Acropora) acuminata,"Britomart Reef, S side",-18.232,146.638,1983,0.3459876,35.54,34.53,26.272865,0.05736161
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora acuminata,Acropora acuminata,,Acropora (Acropora) acuminata,"Chesterfield Atoll, SW reefs",-19.607,158.545,1983,0.13215686,35.329998,34.96,25.47984,0.035156228
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora acuminata,Acropora acuminata,,Acropora (Acropora) acuminata,"Osborne Reef, E side",-13.043,143.626,1983,0.58239627,35.43,34.719997,26.746506,0.07797267
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora acuminata,Acropora acuminata,,Acropora (Acropora) acuminata,Fitzroy Reef lagoon,-23.619,152.168,1983,0.3999051,35.68,35.12,24.40502,0.05991871
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora acuminata,Acropora acuminata,,Acropora (Acropora) acuminata,Great Detached Reef,-11.739,144.101,1983,0.644344,35.39,34.71,26.781054,0.07918236
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora acuminata,Acropora acuminata,,Acropora (Acropora) acuminata,Little Mary Reef,-9.775,143.86,1983,1.129661,35.11,34.19,27.2731,0.11162425
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora acuminata,Acropora acuminata,,Acropora (Acropora) acuminata,Magdelaine Cay,-16.6,150.283,1983,0.10375753,35.329998,34.92,26.654171,0.030781476
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora acuminata,Acropora acuminata,,Acropora (Acropora) acuminata,"Sir Charles Hardy Islands, NW side",-11.914,143.473,1983,1.5088648,35.399998,34.63,27.015633,0.12490065
"Acropora (Acropora) acuminata (Verrill, 1864)",Acropora acuminata,Acropora acuminata,,Acropora (Acropora) acuminata,"Long Island, Chesterfield Atoll",-19.883,158.316,1983,0.45867953,35.35,35,25.34758,0.055503912
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,"Elizabeth Reef, S outer slope",-29.933,159.066,1983,0.17037258,35.71,35.579998,22.001612,0.04077379
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,"Dewar Island (Murray Islands), S side",-9.918,144,1983,0.71387374,35.11,34.29,26.946064,0.09150131
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,"Sir Charles Hardy Islands, NW side",-11.914,143.473,1983,1.5088648,35.399998,34.63,27.015633,0.12490065
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,North Solitary Island,-29.922,153.386,1983,0.86878985,35.59,35.329998,21.888655,0.09560884
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,Tijou Reef,-13.166,143.95,1983,0.6841327,35.42,34.79,26.593689,0.08185032
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,"Britomart Reef, NW side",-18.199,146.809,1983,0.47063765,35.54,34.55,26.26456,0.068078116
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,Cat Reef,-12.992,143.858,1983,0.5077575,35.45,34.77,26.675268,0.072858445
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,"near Triangle Reef, S side of a channel",-10.766,143.983,1983,0.84278554,35.32,34.57,26.733238,0.09077215
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,"Llewellyn Reef, SE side",-23.697,152.201,1983,0.5673854,35.67,35.12,24.374777,0.07025147
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,Franklin Reef,-13.069,143.901,1983,0.70984745,35.44,34.79,26.640842,0.08178229
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,"Bewick Island, NE corner",-14.4255,144.8168,1983,0.6497173,35.42,34.68,26.18764,0.08600134
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,"Britomart Reef, S side",-18.232,146.638,1983,0.3459876,35.54,34.53,26.272865,0.05736161
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,"Tijou Reef, SW corner",-13.246,143.909,1983,0.39787814,35.399998,34.78,26.5904,0.06352097
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,Great Detached Reef,-11.739,144.101,1983,0.644344,35.39,34.71,26.781054,0.07918236
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,Tijou Reef,-13.167,143.946,1983,0.6841327,35.42,34.79,26.593689,0.08185032
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora anthocercis,Acropora anthocercis,,Acropora (Acropora) anthocercis,Great Detached Reef,-11.694,144.028,1983,0.48999563,35.38,34.7,26.695108,0.062372394
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Observatory Cay, Chesterfield Atoll",-19.4,158.85,1983,0.14105934,35.309998,34.94,25.70414,0.03508881
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Turtle Islands, W point of a southern island",-14.732,145.194,1983,1.0693185,35.469997,34.739998,26.257446,0.11542707
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Electra Head, Great Palm Island",-18.73,146.69,1983,,35.57,34.489998,25.939377,
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,"Great Palm Island, S side",-18.761,146.592,1983,0.764779,35.57,34.469997,25.775917,0.094535045
"Acropora (Acropora) aspera (Dana, 1846)",Acropora aspera,Acropora aspera,,Acropora (Acropora) aspera,Bushy Island-Redbill Reef,-20.966,150.083,1983,0.36793962,35.579998,34.98,25.355349,0.05858842
