Record ID,Scientific Name,Matched.Scientific.Name,Revised CTDB name,Taxon Rank - matched,Species - matched,locality,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Collector,Outlier for layer,Taxon identification issue,Data Resource ID,Data Resource Name,Suspected outlier,geodetic Datum Assumed Wgs 84,Habitat incorrect for species,Homonym issues with supplied name,incomplete Collection Date,inferred Duplicate Record,Name not in national checklists,Name not recognised
67f3e916-afdf-46fc-be9e-d783087aa5f8,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Warrior Reef, SE corner",-9.8,143.02,2000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
bc46622d-85b5-43a4-afd3-38904d8e3464,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Orpheus Island (Palm Islands), W side",-18.6,146.483,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
cc93e9c6-77dd-41b6-b633-4afbac6f4da9,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,Yonge Reef,-14.597,145.623,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ddd8966c-4fed-498b-be00-ad38e584c8e9,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,Great Detached Reef,-11.739,144.101,6000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ed13019c-2f71-4e1f-9bc8-40ea9632b2a0,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Wistari Reef, in channel adjacent to Heron Is",-23.449,151.905,300,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ed754709-2d1f-4e94-b957-d5d57c5e2cb6,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,Swain Reef,-21.5,152.416,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
f07b7804-8bd7-4cad-9195-eb0d31c72bbc,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Great Palm Island, NW side",-18.686,146.566,2000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3543d07f-9cb8-48a0-991b-fc9c07b29d0c,"Acanthastrea hillae Wells, 1955",Acanthastrea.hillae,Homophyllia hillae,species,Acanthastrea hillae,"Lagoon 'passages', LORD HOWE ISLAND",-31.539,159.061,750,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
66cb9dd3-0c03-436a-9faf-e2a782ad3fe9,"Acanthastrea hillae Wells, 1955",Acanthastrea.hillae,Homophyllia hillae,species,Acanthastrea hillae,"Northern and eastern bays and promontories, LORD HOWE ISLAND",-31.466,159.15,3000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
66cbe548-ba0c-46fd-b538-6edd77c886e5,"Acanthastrea hillae Wells, 1955",Acanthastrea.hillae,Homophyllia hillae,species,Acanthastrea hillae,"Dewar Island (Murray Islands), S side",-9.918,144,3000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
