"species","site","present","Latitude","Longitude","stdev","SST_p50","Chl_50p","skewnes","TSM_50P","PAR_50P","Calcification.rate","Colony.maximum.diameter","Corallite.width.maximum","Growth.form.typical","Growth.rate","Polyps.per.area","Skeletal.density","Skeletal.micro.density","molefam","morphfam"
"Acropora aspera",17,0,-14.651,145.491,1.97913122177124,26.4750003814697,0.154817640781403,0.032080315053463,0.400379002094269,46.4031677246094,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",180,0,-16.385,145.557,2.34729933738708,26.6268749237061,0.438577175140381,-0.0477329306304455,0.822582960128784,45.5086402893066,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",195,0,-14.498,144.952,2.24166059494019,26.6268749237061,0.224860310554504,-0.0373119935393333,0.444912016391754,47.2827606201172,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",187,0,-14.383,145.366,1.89524853229523,26.5481262207031,0.151772201061249,0.0328392125666142,0.401813983917236,46.6191902160645,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",51,0,-13.167,143.946,1.77060151100159,26.7000007629395,2.72446465492249,0.00456530461087823,2.11965990066528,46.0726013183594,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",39,1,-19.333,158.666,1.62707436084747,25.7999992370605,0.147886693477631,0.0138588305562735,0.352087914943695,46.7220611572266,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",133,0,-18.766,146.55,2.63901495933533,26.4750003814697,0.498247742652893,-0.186930805444717,1.11389720439911,45.314380645752,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",126,0,-9.904,144.114,1.55237138271332,27.0768737792969,0.517446041107178,-0.144193649291992,0.442460656166077,45.4015998840332,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",184,0,-9.937,143.984,1.60885190963745,27.2231254577637,0.53530740737915,-0.173720002174377,0.459974825382233,45.6243896484375,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",141,0,-9.868,144.16,1.56032204627991,26.9981250762939,0.509062528610229,-0.116476207971573,0.447990357875824,46.1238403320312,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",3,0,-21.5,152.416,1.93071007728577,25.5018749237061,0.127281203866005,-0.063662514090538,0.343076646327972,46.7519989013672,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",40,0,-23.635,152.155,2.15542912483215,24.5231246948242,0.320773035287857,0.0512040965259075,0.477597564458847,45.5868453979492,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",158,0,-20.964,150.074,2.36805033683777,25.6481246948242,0.305505156517029,-0.145251825451851,0.607946813106537,46.9554290771484,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",198,0,-31.54,159.05,2.06447076797485,21.5249996185303,0.197583243250847,0.129900142550468,0.425139963626862,39.9306716918945,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",52,1,-14.524,144.964,2.25754356384277,26.7000007629395,0.21738775074482,-0.0532008968293667,0.442345261573792,47.4302787780762,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",30,0,-23.619,152.168,2.15542912483215,24.5231246948242,0.320773035287857,0.0512040965259075,0.477597564458847,45.5868453979492,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",231,0,-18.714,146.558,2.50007009506226,26.4750003814697,0.476219683885574,-0.155425563454628,0.893917381763458,44.0809783935547,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",46,0,-13.069,143.901,1.78257596492767,26.6268749237061,2.97152709960938,0.0537080802023411,2.23223829269409,46.8165092468262,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",64,0,-18.814,146.432,2.71904611587524,26.5115623474121,0.492128372192383,-0.191384389996529,1.24214625358582,46.3942794799805,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
