trait,master_species,value
substrate_attachment,Alveopora.minuta,attached
substrate_attachment,Alveopora.ocellata,attached
substrate_attachment,Alveopora.spongiosa,attached
substrate_attachment,Alveopora.verrilliana,attached
substrate_attachment,Alveopora.viridis,attached
substrate_attachment,Anacropora.forbesi,attached
substrate_attachment,Anacropora.matthai,attached
substrate_attachment,Anacropora.pillai,attached
substrate_attachment,Anacropora.puertogalerae,attached
substrate_attachment,Anacropora.reticulata,attached
substrate_attachment,Anacropora.spinosa,attached
substrate_attachment,Anacropora.spumosa,attached
substrate_attachment,Anomastraea.irregularis,attached
substrate_attachment,Anomocora.carinata,unattached
substrate_attachment,Anomocora.fecunda,unattached
substrate_attachment,Anthemiphyllia.dentata,both
substrate_attachment,Anthemiphyllia.frustum,both
substrate_attachment,Anthemiphyllia.macrolobata,both
substrate_attachment,Anthemiphyllia.multidentata,both
substrate_attachment,Anthemiphyllia.pacifica,both
substrate_attachment,Anthemiphyllia.pateracostata,unattached
substrate_attachment,Anthemiphyllia.paterapatera,both
substrate_attachment,Anthemiphyllia.spinifera,unattached
substrate_attachment,Asterosmilia.gigas,unattached
substrate_attachment,Asterosmilia.marchadi,both
substrate_attachment,Astrangia.atrata,attached
substrate_attachment,Astrangia.browni,attached
substrate_attachment,Astrangia.californica,attached
substrate_attachment,Astrangia.conferta,attached
substrate_attachment,Astrangia.costata,attached
substrate_attachment,Astrangia.dentata,attached
substrate_attachment,Astrangia.equatorialis,attached
substrate_attachment,Astrangia.haimei,attached
substrate_attachment,Astrangia.howardi,attached
substrate_attachment,Astrangia.lajollaensis.,attached
substrate_attachment,Astrangia.macrodentata,attached
substrate_attachment,Astrangia.mercatoris,attached
substrate_attachment,Astrangia.poculata,attached
substrate_attachment,Astrangia.rathbuni,attached
substrate_attachment,Astrangia.solitaria,attached
substrate_attachment,Astrangia.woodsi,attached
substrate_attachment,Astreopora.cucullata,attached
substrate_attachment,Astreopora.eliptica,attached
substrate_attachment,Astreopora.expansa,attached
substrate_attachment,Astreopora.explanata,attached
substrate_attachment,Astreopora.gracilis,attached
substrate_attachment,Astreopora.incrustans,attached
substrate_attachment,Astreopora.lambertsi,attached
substrate_attachment,Astreopora.listeri,attached
substrate_attachment,Astreopora.macrostoma,attached
substrate_attachment,Astreopora.moretonensis,attached
substrate_attachment,Astreopora.myriophthalma,attached
