Scientific Name,Matched Scientific Name,Revised.CTDB.name,Species - matched,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Year - parsed,wave power,marspec_var,marspec_SST,MODIS_SST,turbidity,,,
"Fungia (Pleuractis) scutaria Lamarck, 1801",Fungia (Lobactis) scutaria,Lobactis scutaria,Fungia (Lobactis) scutaria,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Fungia (Pleuractis) paumotensis Stutchbury, 1833",Fungia (Pleuractis) paumotensis,Pleuractis paumotensis,Fungia (Pleuractis) paumotensis,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Fungia (Verrillofungia) concinna Verrill, 1864",Fungia (Verrillofungia) concinna,Lithophyllon concinna,Fungia (Verrillofungia) concinna,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Fungia (Verrillofungia) granulosa Klunzinger, 1879",Fungia (Wellsofungia) granulosa,Pleuractis granulosa,Fungia (Wellsofungia) granulosa,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Herpolitha limax (Houttuyn, 1772)",Herpolitha limax,Herpolitha limax,Herpolitha limax,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Leptoseris hawaiiensis Vaughan, 1907",Leptoseris hawaiiensis,Leptoseris hawaiiensis,Leptoseris hawaiiensis,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Pavona cf. explanulata (Lamarck, 1816)",Pavona,Pavona,,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Platygyra pini Chevalier, 1975",Platygyra pini,Platygyra pini,Platygyra pini,-14.826,145.721,4000,1976,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Sandalolitha robusta (Quelch, 1886)",Sandalolitha robusta,Sandalolitha robusta,Sandalolitha robusta,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Scapophyllia cylindrica (Edwards & Haime, 1848)",Scapophyllia cylindrica,Scapophyllia cylindrica,Scapophyllia cylindrica,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Symphyllia radians Edwards & Haime, 1849",Symphyllia radians,Symphyllia radians,Symphyllia radians,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Turbinaria stellulata (Lamarck, 1816)",Turbinaria stellulata,Turbinaria stellulata,Turbinaria stellulata,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Symphyllia cf. recta (Dana, 1846)",,Symphyllia recta,,-14.826,145.721,4000,1979,0.094304,1.8248999,26.41,26.645742,0.069430314,,,
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,Acropora (Acropora) aspera,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,Acropora (Acropora) austera,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) cerealis (Dana, 1846)",Acropora (Acropora) cerealis,Acropora cerealis,Acropora (Acropora) cerealis,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) divaricata (Dana, 1846)",Acropora (Acropora) divaricata,Acropora divaricata,Acropora (Acropora) divaricata,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) grandis (Brook, 1892)",Acropora (Acropora) grandis,Acropora grandis,Acropora (Acropora) grandis,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) humilis (Dana, 1846)",Acropora (Acropora) humilis,Acropora humilis,Acropora (Acropora) humilis,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) hyacinthus (Dana, 1846)",Acropora (Acropora) hyacinthus,Acropora hyacinthus,Acropora (Acropora) hyacinthus,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora longicyathus (Edwards & Haime, 1860)",Acropora (Acropora) longicyathus,Acropora longicyathus,Acropora (Acropora) longicyathus,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) loripes (Brook, 1892)",Acropora (Acropora) loripes,Acropora loripes,Acropora (Acropora) loripes,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) microphthalma (Verrill, 1869)",Acropora (Acropora) microphthalma,Acropora microphthalma,Acropora (Acropora) microphthalma,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) millepora (Ehrenberg, 1834)",Acropora (Acropora) millepora,Acropora millepora,Acropora (Acropora) millepora,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) nasuta (Dana, 1846)",Acropora (Acropora) nasuta,Acropora nasuta,Acropora (Acropora) nasuta,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) paniculata Verrill, 1902",Acropora (Acropora) paniculata,Acropora paniculata,Acropora (Acropora) paniculata,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) sarmentosa (Brook, 1892)",Acropora (Acropora) sarmentosa,Acropora sarmentosa,Acropora (Acropora) sarmentosa,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) secale (Studer, 1878)",Acropora (Acropora) secale,Acropora secale,Acropora (Acropora) secale,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) tenuis (Dana, 1846)",Acropora (Acropora) tenuis,Acropora tenuis,Acropora (Acropora) tenuis,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) valida (Dana, 1846)",Acropora (Acropora) valida,Acropora valida,Acropora (Acropora) valida,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
Acropora (Acropora) verweyi,Acropora (Acropora) verweyi,Acropora verweyi,Acropora (Acropora) verweyi,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
Acropora (Acropora) yongei,Acropora (Acropora) yongei,Acropora yongei,Acropora (Acropora) yongei,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora (Isopora) brueggemanni,Isopora brueggemanni,Acropora (Isopora) brueggemanni,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Isopora) palifera (Lamarck, 1816)",Acropora (Isopora) palifera,Isopora palifera,Acropora (Isopora) palifera,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Acropora (Acropora) formosa (Dana, 1846)",Acropora formosa,Acropora muricata,,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Astreopora gracilis Bernard, 1896",Astreopora gracilis,Astreopora gracilis,Astreopora gracilis,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Goniopora djiboutiensis Vaughan, 1907",Goniopora djiboutiensis,Goniopora djiboutiensis,Goniopora djiboutiensis,-14.732,145.194,1500,1981,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Goniopora fruticosa Saville-Kent, 1893",Goniopora fruticosa,Goniopora fruticosa,Goniopora fruticosa,-14.732,145.194,1500,1981,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Goniopora columna Dana, 1846",Goniopora lobata,Goniopora lobata,Goniopora lobata,-14.732,145.194,1500,1981,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Goniopora lobata Edwards & Haime, 1860",Goniopora lobata,Goniopora lobata,Goniopora lobata,-14.732,145.194,1500,1981,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Goniopora minor Crossland, 1952",Goniopora minor,Goniopora minor,Goniopora minor,-14.732,145.194,1500,1981,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
Goniopora palmensis,Goniopora palmensis,Goniopora palmensis,Goniopora palmensis,-14.732,145.194,1500,1981,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
Goniopora pandoraensis,Goniopora pandoraensis,Goniopora pandoraensis,Goniopora pandoraensis,-14.732,145.194,1500,1981,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Goniopora somaliensis Vaughan, 1907",Goniopora somaliensis,Goniopora somaliensis,Goniopora somaliensis,-14.732,145.194,1500,1981,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Montipora aequituberculata Bernard, 1897",Montipora aequituberculata,Montipora aequituberculata,Montipora aequituberculata,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Montipora hispida (Dana, 1846)",Montipora hispida,Montipora hispida,Montipora hispida,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Montipora turgescens Bernard, 1897",Montipora turgescens,Montipora turgescens,Montipora turgescens,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Montipora undata Bernard, 1897",Montipora undata,Montipora undata,Montipora undata,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Montipora venosa (Ehrenberg, 1834)",Montipora venosa,Montipora venosa,Montipora venosa,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Montipora verrucosa (Lamarck, 1816)",Montipora verrucosa,Montipora verrucosa,Montipora verrucosa,-14.732,145.194,1500,1983,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Porites (Synaraea) rus (Forskal, 1775)",Porites (Synaraea) rus,Porites rus,Porites (Synaraea) rus,-14.732,145.194,1500,1981,0.054733,3.8397,25.949999,26.257446,0.11542707,,,
"Psammocora profundacella Gardiner, 1898",Psammocora profundacella,Psammocora profundacella,Psammocora profundacella,-14.697,145.46,2000,1975,0.190269,2.5923998,26.109999,26.44021,0.06773445,,,
Australogyra zelli,Australogyra zelli,Australogyra zelli,Australogyra zelli,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Coeloseris mayeri Vaughan, 1918",Coeloseris mayeri,Coeloseris mayeri,Coeloseris mayeri,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Coscinaraea columna (Dana, 1846)",Coscinaraea columna,Coscinaraea columna,Coscinaraea columna,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Ctenactis) echinata. (Pallas, 1766)",Ctenactis crassa,Ctenactis crassa,Ctenactis crassa,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Cyphastrea microphthalma (Lamarck, 1816)",Cyphastrea microphthalma,Cyphastrea microphthalma,Cyphastrea microphthalma,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Echinopora mammiformis (Nemenzo, 1959)",Echinopora mammiformis,Echinopora mammiformis,Echinopora mammiformis,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
Favia lizardensis,Favia lizardensis,Dipsastraea lizardensis,Favia lizardensis,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Favia matthaii Vaughan, 1918",Favia matthaii,Dipsastraea matthaii,Favia matthaii,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Favia pallida (Dana, 1846)",Favia pallida,Dipsastraea pallida,Favia pallida,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Favites abdita (Ellis & Solander, 1786)",Favites abdita,Favites abdita,Favites abdita,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Favites chinensis (Verrill, 1866)",Favites chinensis,Favites chinensis,Favites chinensis,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Favites complanata (Ehrenberg, 1834)",Favites complanata,Favites complanata,Favites complanata,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Favites flexuosa (Dana, 1846)",Favites flexuosa,Favites flexuosa,Favites flexuosa,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Danafungia) danai Edwards & Haime, 1851",Fungia,Fungia,,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Danafungia) klunzingeri Doderlein, 1901",Fungia,Fungia,,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Fungia) Fungites (Linnaeus, 1758)",Fungia,Fungia,,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Danafungia) horrida Dana, 1846",Fungia (Danafungia) horrida,Danafungia horrida,Fungia (Danafungia) horrida,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Pleuractis) paumotensis Stutchbury, 1833",Fungia (Pleuractis) paumotensis,Pleuractis paumotensis,Fungia (Pleuractis) paumotensis,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Verrillofungia) repanda Dana, 1846",Fungia (Verrillofungia) repanda,Lithophyllon repanda,Fungia (Verrillofungia) repanda,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Galaxea fascicularis (Linnaeus, 1767)",Galaxea fascicularis,Galaxea fascicularis,Galaxea fascicularis,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Goniastrea retiformis (Lamarck, 1816)",Goniastrea retiformis,Goniastrea retiformis,Goniastrea retiformis,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Herpolitha limax (Houttuyn, 1772)",Herpolitha limax,Herpolitha limax,Herpolitha limax,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Leptastrea purpurea (Dana, 1846)",Leptastrea purpurea,Leptastrea purpurea,Leptastrea purpurea,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Merulina ampliata (Ellis & Solander, 1786)",Merulina ampliata,Merulina ampliata,Merulina ampliata,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Montastrea magnistellata Chevalier, 1971",Montastrea magnistellata,Favites magnistellata,Montastrea magnistellata,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Montastrea valenciennesi (Edwards & Haime, 1848)",Montastrea valenciennesi,Favites valenciennesi,Montastrea valenciennesi,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Montipora mollis Bernard, 1897",Montipora mollis,Montipora mollis,Montipora mollis,-14.696,145.451,1000,1983,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Pavona varians Verrill, 1864",Pavona varians,Pavona varians,Pavona varians,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Podabacia crustacea (Pallas, 1766)",Podabacia crustacea,Podabacia crustacea,Podabacia crustacea,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Porites (Porites) lutea Edwards & Haime, 1860",Porites (Porites) lutea,Porites lutea,Porites (Porites) lutea,-14.696,145.451,1000,1981,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Sandalolitha robusta (Quelch, 1886)",Sandalolitha robusta,Sandalolitha robusta,Sandalolitha robusta,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Turbinaria patula (Dana, 1846)",Turbinaria patula,Turbinaria patula,Turbinaria patula,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Turbinaria stellulata (Lamarck, 1816)",Turbinaria stellulata,Turbinaria stellulata,Turbinaria stellulata,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Cycloseris erosa (Doderlein, 1901)",,Cycloseris tenuis,,-14.696,145.451,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Favia favus (Forsk´è_l, 1775)",,Dipsastraea favus,,-14.696,145.451,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Acropora (Acropora) gemmifera (Brook, 1892)",Acropora (Acropora) gemmifera,Acropora gemmifera,Acropora (Acropora) gemmifera,-14.693,145.657,500,1983,,1.8549,26.269999,26.630922,0.058236722,,,
"Acropora (Acropora) humilis (Dana, 1846)",Acropora (Acropora) humilis,Acropora humilis,Acropora (Acropora) humilis,-14.693,145.657,500,1983,,1.8549,26.269999,26.630922,0.058236722,,,
"Acropora (Acropora) robusta (Dana, 1846)",Acropora (Acropora) robusta,Acropora robusta,Acropora (Acropora) robusta,-14.693,145.657,500,1983,,1.8549,26.269999,26.630922,0.058236722,,,
"Acropora (Acropora) secale (Studer, 1878)",Acropora (Acropora) secale,Acropora secale,Acropora (Acropora) secale,-14.693,145.657,500,1983,,1.8549,26.269999,26.630922,0.058236722,,,
Clavarina triangularis,Clavarina triangularis,Merulina triangularis,Clavarina triangularis,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Cyphastrea serailia (Forsk´è_l, 1775)",Cyphastrea,Cyphastrea,,-14.693,145.657,500,1976,,1.8549,26.269999,26.630922,0.058236722,,,
"Euphyllia (Euphyllia) cristata Chevalier, 1971",Euphyllia (Euphyllia) cristata,Euphyllia cristata,Euphyllia (Euphyllia) cristata,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Favia stelligera (Dana, 1846)",Favia stelligera,Goniastrea stelligera,Favia stelligera,-14.693,145.657,500,1976,,1.8549,26.269999,26.630922,0.058236722,,,
"Favites russelli (Wells, 1954)",Favites russelli,Paragoniastrea russelli,Favites russelli,-14.693,145.657,500,1976,,1.8549,26.269999,26.630922,0.058236722,,,
"Fungia (Pleuractis) scutaria Lamarck, 1801",Fungia (Lobactis) scutaria,Lobactis scutaria,Fungia (Lobactis) scutaria,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Fungia (Verrillofungia) concinna Verrill, 1864",Fungia (Verrillofungia) concinna,Lithophyllon concinna,Fungia (Verrillofungia) concinna,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Fungia (Verrillofungia) granulosa Klunzinger, 1879",Fungia (Wellsofungia) granulosa,Pleuractis granulosa,Fungia (Wellsofungia) granulosa,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Goniastrea edwardsi Chevalier, 1971",Goniastrea edwardsi,Goniastrea edwardsi,Goniastrea edwardsi,-14.693,145.657,500,1976,,1.8549,26.269999,26.630922,0.058236722,,,
"Leptoseris hawaiiensis Vaughan, 1907",Leptoseris hawaiiensis,Leptoseris hawaiiensis,Leptoseris hawaiiensis,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Leptoseris mycetoseroides Wells, 1954",Leptoseris mycetoseroides,Leptoseris mycetoseroides,Leptoseris mycetoseroides,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Leptoseris scabra Vaughan, 1907",Leptoseris scabra,Leptoseris scabra,Leptoseris scabra,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Montastrea annuligera (Edwards & Haime, 1849)",Montastrea annuligera,Astrea annuligera,Montastrea annuligera,-14.693,145.657,500,1976,,1.8549,26.269999,26.630922,0.058236722,,,
"Montastrea curta (Dana, 1846)",Montastrea curta,Astrea curta,Montastrea curta,-14.693,145.657,500,1976,,1.8549,26.269999,26.630922,0.058236722,,,
"Montipora foliosa (Pallas, 1766)",Montipora foliosa,Montipora foliosa,Montipora foliosa,-14.693,145.657,500,1983,,1.8549,26.269999,26.630922,0.058236722,,,
"Montipora incrassata (Dana, 1846)",Montipora incrassata,Montipora incrassata,Montipora incrassata,-14.693,145.657,500,1983,,1.8549,26.269999,26.630922,0.058236722,,,
"Pachyseris speciosa (Dana, 1846)",Pachyseris speciosa,Pachyseris speciosa,Pachyseris speciosa,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Pavona cf. explanulata (Lamarck, 1816)",Pavona,Pavona,,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Pavona maldivensis (Gardiner, 1905)",Pavona maldivensis,Pavona maldivensis,Pavona maldivensis,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Podabacia crustacea (Pallas, 1766)",Podabacia crustacea,Podabacia crustacea,Podabacia crustacea,-14.693,145.657,500,1979,,1.8549,26.269999,26.630922,0.058236722,,,
"Porites (Synaraea) rus (Forskal, 1775)",Porites (Synaraea) rus,Porites rus,Porites (Synaraea) rus,-14.693,145.657,500,1981,,1.8549,26.269999,26.630922,0.058236722,,,
"Psammocora haimeana Edwards & Haime, 1851",Psammocora haimeana,Psammocora haimiana,Psammocora haimeana,-14.693,145.657,500,1975,,1.8549,26.269999,26.630922,0.058236722,,,
Clavarina triangularis,Clavarina triangularis,Merulina triangularis,Clavarina triangularis,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Coeloseris mayeri Vaughan, 1918",Coeloseris mayeri,Coeloseris mayeri,Coeloseris mayeri,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Ctenactis) echinata. (Pallas, 1766)",Ctenactis crassa,Ctenactis crassa,Ctenactis crassa,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Cyphastrea japonica Yabe & Sugiyama, 1932",Cyphastrea japonica,Cyphastrea japonica,Cyphastrea japonica,-14.692,145.453,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
Echinophyllia echinoporoides,Echinophyllia echinoporoides,Echinophyllia echinoporoides,Echinophyllia echinoporoides,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
Echinophyllia orpheensis nom. nov.,Echinophyllia orpheensis,Echinophyllia orpheensis,Echinophyllia orpheensis,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Echinopora horrida Dana, 1846",Echinopora horrida,Echinopora horrida,Echinopora horrida,-14.692,145.453,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Fungia) Fungites (Linnaeus, 1758)",Fungia,Fungia,,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Danafungia) horrida Dana, 1846",Fungia (Danafungia) horrida,Danafungia horrida,Fungia (Danafungia) horrida,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Danafungia) scruposa Klunzinger, 1879",Fungia (Danafungia) scruposa,Danafungia scruposa,Fungia (Danafungia) scruposa,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Pleuractis) scutaria Lamarck, 1801",Fungia (Lobactis) scutaria,Lobactis scutaria,Fungia (Lobactis) scutaria,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Pleuractis) paumotensis Stutchbury, 1833",Fungia (Pleuractis) paumotensis,Pleuractis paumotensis,Fungia (Pleuractis) paumotensis,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Verrillofungia) concinna Verrill, 1864",Fungia (Verrillofungia) concinna,Lithophyllon concinna,Fungia (Verrillofungia) concinna,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Fungia (Verrillofungia) repanda Dana, 1846",Fungia (Verrillofungia) repanda,Lithophyllon repanda,Fungia (Verrillofungia) repanda,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Hydnophora rigida (Dana, 1846)",Hydnophora rigida,Hydnophora rigida,Hydnophora rigida,-14.692,145.453,1000,1976,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Montipora turgescens Bernard, 1897",Montipora turgescens,Montipora turgescens,Montipora turgescens,-14.692,145.453,1000,1983,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Pavona venosa (Ehrenberg, 1834)",Pavona venosa,Pavona venosa,Pavona venosa,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Pectinia alcicornis (Saville-Kent, 1871)",Pectinia alcicornis,Pectinia alcicornis,Pectinia alcicornis,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Podabacia crustacea (Pallas, 1766)",Podabacia crustacea,Podabacia crustacea,Podabacia crustacea,-14.692,145.453,1000,1979,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Porites (Porites) australiensis Vaughan, 1918",Porites (Porites) australiensis,Porites australiensis,Porites (Porites) australiensis,-14.692,145.453,1000,1981,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Porites (Porites) cylindrica Dana, 1846",Porites (Porites) cylindrica,Porites cylindrica,Porites (Porites) cylindrica,-14.692,145.453,1000,1981,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Porites (Porites) lobata Dana, 1846",Porites (Porites) lobata,Porites lobata,Porites (Porites) lobata,-14.692,145.453,1000,1981,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Porites (Porites) nigrescens Dana, 1848",Porites (Porites) nigrescens,Porites nigrescens,Porites (Porites) nigrescens,-14.692,145.453,1000,1981,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Porites (Porites) solida (Forskal, 1775)",Porites (Porites) solida,Porites solida,Porites (Porites) solida,-14.692,145.453,1000,1981,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Psammocora contigua (Esper, 1797)",Psammocora contigua,Psammocora contigua,Psammocora contigua,-14.692,145.453,1000,1975,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
"Psammocora digitata Edwards & Haime, 1851",Psammocora digitata,Psammocora digitata,Psammocora digitata,-14.692,145.453,1000,1975,0.190269,2.6246,26.109999,26.44021,0.06773445,,,
