Scientific Name,Matched Scientific Name,Revised.CTDB.name,Species - matched,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Year - parsed,wave power,marspec_var,marspec_SST,MODIS_SST,turbidity,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) listeri (Brook, 1893)",Acropora (Acropora) listeri,Acropora listeri,Acropora (Acropora) listeri,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) listeri (Brook, 1893)",Acropora (Acropora) listeri,Acropora listeri,Acropora (Acropora) listeri,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
Acropora (Acropora) lovelli,Acropora (Acropora) lovelli,Acropora loveli,Acropora (Acropora) lovelli,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
Acropora (Acropora) lovelli,Acropora (Acropora) lovelli,Acropora loveli,Acropora (Acropora) lovelli,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
Acropora (Acropora) lovelli,Acropora (Acropora) lovelli,Acropora loveli,Acropora (Acropora) lovelli,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
Acropora (Acropora) lovelli,Acropora (Acropora) lovelli,Acropora loveli,Acropora (Acropora) lovelli,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
Acropora (Acropora) lovelli,Acropora (Acropora) lovelli,Acropora loveli,Acropora (Acropora) lovelli,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) lutkeni Crossland, 1952",Acropora (Acropora) lutkeni,Acropora lutkeni,Acropora (Acropora) lutkeni,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) millepora (Ehrenberg, 1834)",Acropora (Acropora) millepora,Acropora millepora,Acropora (Acropora) millepora,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) nasuta (Dana, 1846)",Acropora (Acropora) nasuta,Acropora nasuta,Acropora (Acropora) nasuta,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) nasuta (Dana, 1846)",Acropora (Acropora) nasuta,Acropora nasuta,Acropora (Acropora) nasuta,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) palmerae Wells, 1954",Acropora (Acropora) palmerae,Acropora palmerae,Acropora (Acropora) palmerae,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) pulchra (Brook, 1891)",Acropora (Acropora) pulchra,Acropora pulchra,Acropora (Acropora) pulchra,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) pulchra (Brook, 1891)",Acropora (Acropora) pulchra,Acropora pulchra,Acropora (Acropora) pulchra,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
Acropora solitaryensis,Acropora (Acropora) solitaryensis,Acropora solitaryensis,Acropora (Acropora) solitaryensis,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
Acropora solitaryensis,Acropora (Acropora) solitaryensis,Acropora solitaryensis,Acropora (Acropora) solitaryensis,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
Acropora solitaryensis,Acropora (Acropora) solitaryensis,Acropora solitaryensis,Acropora (Acropora) solitaryensis,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
Acropora solitaryensis,Acropora (Acropora) solitaryensis,Acropora solitaryensis,Acropora (Acropora) solitaryensis,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) tenuis (Dana, 1846)",Acropora (Acropora) tenuis,Acropora tenuis,Acropora (Acropora) tenuis,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) tortuosa (Dana, 1846)",Acropora (Acropora) tortuosa,Acropora tortuosa,Acropora (Acropora) tortuosa,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) tortuosa (Dana, 1846)",Acropora (Acropora) tortuosa,Acropora tortuosa,Acropora (Acropora) tortuosa,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) valida (Dana, 1846)",Acropora (Acropora) valida,Acropora valida,Acropora (Acropora) valida,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) valida (Dana, 1846)",Acropora (Acropora) valida,Acropora valida,Acropora (Acropora) valida,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) valida (Dana, 1846)",Acropora (Acropora) valida,Acropora valida,Acropora (Acropora) valida,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
