,species,site,present,Latitude,Longitude,stdev,SST_p50,Chl_50p,skewnes,TSM_50P,PAR_50P,abundance_world,depth_lower,depth_range,found_off_reef,growth_form,range_size_veron_.pixels.,reproductive_mode_.ahb.,sexual_system,substrate_attachment,water_clarity_preference,wave_exposure_preference,zooxanthellae_in_propagules_.ahb.
19019,Caulastrea.tumida,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25845,Favia.favus,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27548,Favia.speciosa,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29582,Fungia.fungites,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32538,Goniastrea.australensis,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37223,Hydnophora.exesa,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49110,Mycedium.elephantotus,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51478,Pavona.decussata,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
54141,Platygyra.sinensis,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54425,Plesiastrea.versipora,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54603,Pocillopora.damicornis,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58695,Porites.stephensoni,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62472,Stylophora.pistillata,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64349,Turbinaria.mesenterina,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
64917,Turbinaria.radicalis,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3446,Acropora.cuneata,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5472,Acropora.gemmifera,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5754,Acropora.glauca,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6418,Acropora.humilis,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6634,Acropora.hyacinthus,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8129,Acropora.microclados,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8851,Acropora.monticulosa,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11915,Acropora.solitaryensis,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
19044,Caulastrea.tumida,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25905,Favia.favus,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27604,Favia.speciosa,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29511,Fungia.fungites,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32512,Goniastrea.australensis,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37192,Hydnophora.exesa,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49219,Mycedium.elephantotus,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51482,Pavona.decussata,201,0,-29.779,153.305,2.514189482,22.42499924,NA,0.426449209,NA,40.91351318,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
